"UserId","Attribute Type","Attribute Level","Attribute Verified","id_department","id_gender","id_att_group","id_att_sub_group","id_att_name","SkillLevel"
434,skill,4,0,7,1,12,208,288,light supervision
434,skill,4,0,7,1,12,85,120,light supervision
434,skill,4,0,7,1,12,35,48,light supervision
434,skill,4,0,7,1,12,7,7,light supervision
434,skill,4,0,7,1,12,46,65,light supervision
434,skill,4,0,7,1,8,105,151,light supervision
434,skill,4,0,7,1,12,43,62,light supervision
434,skill,4,0,7,1,12,180,253,light supervision
434,skill,4,1,7,1,8,80,110,light supervision
434,skill,3,0,7,1,12,81,111,light supervision
434,skill,4,0,7,1,12,86,121,light supervision
434,skill,4,0,7,1,12,110,158,light supervision
698,skill,3,0,11,1,6,24,34,light supervision
698,skill,3,0,11,1,6,17,21,light supervision
698,skill,0,0,11,1,6,17,22,wants to learn
698,skill,3,0,11,1,6,17,23,light supervision
698,skill,3,0,11,1,6,37,52,light supervision
698,skill,0,0,11,1,6,42,61,wants to learn
698,skill,3,0,11,1,6,49,72,light supervision
698,skill,0,0,11,1,6,88,123,wants to learn
698,skill,3,0,11,1,6,95,136,light supervision
698,skill,3,0,11,1,6,96,138,light supervision
698,skill,2,0,11,1,6,98,141,heavy supervision
698,skill,3,0,11,1,6,108,156,light supervision
698,skill,2,0,11,1,6,119,174,heavy supervision
698,skill,3,0,11,1,6,128,187,light supervision
698,skill,3,0,11,1,6,129,190,light supervision
698,skill,3,0,11,1,6,142,201,light supervision
698,skill,3,0,11,1,6,144,204,light supervision
698,skill,3,0,11,1,6,161,223,light supervision
698,skill,2,0,11,1,6,163,225,heavy supervision
698,skill,0,0,11,1,6,171,235,wants to learn
698,skill,1,0,11,1,6,172,237,heavy supervision
698,skill,2,0,11,1,6,182,256,heavy supervision
698,skill,3,0,11,1,6,187,261,light supervision
698,skill,3,0,11,1,6,197,276,light supervision
698,skill,2,0,11,1,6,198,277,heavy supervision
698,skill,0,0,11,1,6,204,284,wants to learn
698,skill,3,0,11,1,2,45,64,light supervision
698,skill,2,0,11,1,2,44,63,heavy supervision
698,skill,2,0,11,1,3,28,40,heavy supervision
698,skill,2,0,11,1,3,143,203,heavy supervision
698,skill,3,0,11,1,9,82,112,light supervision
698,skill,2,0,11,1,8,80,110,heavy supervision
698,skill,1,0,11,1,12,1,1,heavy supervision
683,skill,4,1,7,1,12,85,120,light supervision
683,skill,4,1,7,1,12,86,121,light supervision
683,skill,4,1,7,1,12,208,288,light supervision
683,skill,3,1,7,1,12,153,214,light supervision
683,skill,2,1,7,1,12,7,7,heavy supervision
683,skill,1,1,7,1,12,51,74,heavy supervision
683,skill,3,1,7,1,12,63,89,light supervision
683,skill,3,1,7,1,12,71,98,light supervision
683,skill,3,1,7,1,12,178,251,light supervision
683,skill,3,1,7,1,12,180,253,light supervision
683,skill,3,1,7,1,12,205,285,light supervision
683,skill,3,1,7,1,8,80,110,light supervision
683,skill,4,1,7,1,8,181,255,light supervision
683,skill,1,1,7,1,8,104,149,heavy supervision
174,skill,3,1,9,2,12,35,48,light supervision
174,skill,4,1,9,2,12,208,288,light supervision
174,skill,2,1,9,2,12,88,123,heavy supervision
174,skill,2,1,9,2,12,85,120,heavy supervision
707,skill,2,0,3,1,6,197,276,heavy supervision
707,skill,4,0,3,1,7,111,294,light supervision
707,skill,2,0,3,1,7,111,55,heavy supervision
707,skill,4,0,3,1,7,183,66,light supervision
707,skill,4,0,3,1,7,183,247,light supervision
